Legend:,Control Before Study,Control After Study,Patients Before Study,Patients After Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uniqueID,UP name,Lineage( full ),Median_Control_Before_Diet,Mean_Control_Before_Diet,Standard_Deviation_Control_Before_Diet,Interquartile_Range_Control_Before_Diet,Range_Control_Before_Diet,0%_Control_Before_Diet,25%_Control_Before_Diet,50%_Control_Before_Diet,75%_Control_Before_Diet,100%_Control_Before_Diet,Median_Control_After_Diet,Mean_Control_After_Diet,Standard_Deviation_Control_After_Diet,Interquartile_Range_Control_After_Diet,Range_Control_After_Diet,0%_Control_After_Diet,25%_Control_After_Diet,50%_Control_After_Diet,75%_Control_After_Diet,100%_Control_After_Diet,Median_Patient_Before_Diet,Mean_Patient_Before_Diet,Standard_Deviation_Patient_Before_Diet,Interquartile_Range_Patient_Before_Diet,Range_Patient_Before_Diet,0%_Patient_Before_Diet,25%_Patient_Before_Diet,50%_Patient_Before_Diet,75%_Patient_Before_Diet,100%_Patient_Before_Diet,Median_Patient_After_Diet,Mean_Patient_After_Diet,Standard_Deviation_Patient_After_Diet,Interquartile_Range_Patient_After_Diet,Range_Patient_After_Diet,0%_Patient_After_Diet,25%_Patient_After_Diet,50%_Patient_After_Diet,75%_Patient_After_Diet,100%_Patient_After_Diet
UP000010862_CP003368,Prevotella dentalis (strain ATCC 49559 / DSM 3688 / JCM 13448 / NCTC 12043 / ES 2772) (Mitsuokella dentalis),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella dentalis,0.00018,0.00045,0.000525452,0.00081,0.00144,2.00E-05,6.00E-05,0.00018,0.00087,0.00146,7.00E-05,0.000365,0.000510778,0.0006275,0.00126,2.00E-05,4.25E-05,7.00E-05,0.00067,0.00128,3.00E-05,0.000238333,0.000362738,0.000375,0.00097,0,7.50E-06,3.00E-05,0.0003825,0.00097,1.00E-05,0.0002825,0.000617887,0.00018,0.00213,0,0,1.00E-05,0.00018,0.00213
UP000010099_CP003502,Prevotella intermedia (strain 17),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella intermedia,0,3.64E-06,6.74E-06,5.00E-06,2.00E-05,0,0,0,5.00E-06,2.00E-05,0,2.10E-05,5.95E-05,7.50E-06,0.00019,0,0,0,7.50E-06,0.00019,0,8.33E-07,2.89E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,4.17E-06,9.00E-06,2.50E-06,3.00E-05,0,0,0,2.50E-06,3.00E-05
UP000002895_CP003504,Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus hirae,0,3.64E-06,6.74E-06,5.00E-06,2.00E-05,0,0,0,5.00E-06,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67E-06,5.77E-06,0,2.00E-05,0,0,0,0,2.00E-05
UP000015929_CP003666,Prevotella sp oral taxon 299 str. F0039,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella sp. oral taxon 299,2.00E-05,5.09E-05,5.34E-05,7.50E-05,0.00016,0,1.50E-05,2.00E-05,9.00E-05,0.00016,0,0.000166,0.000411156,0.0001225,0.00132,0,0,0,0.0001225,0.00132,1.00E-05,2.92E-05,4.01E-05,5.00E-05,0.00013,0,0,1.00E-05,5.00E-05,0.00013,5.00E-06,3.17E-05,5.83E-05,3.25E-05,2.00E-04,0,0,5.00E-06,3.25E-05,2.00E-04
UP000006306_CP003872,Acidovorax sp KKS102,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax,3.00E-05,3.36E-05,2.73E-05,2.50E-05,9.00E-05,1.00E-05,1.50E-05,3.00E-05,4.00E-05,1.00E-04,2.50E-05,4.50E-05,4.58E-05,7.00E-05,0.00013,0,1.00E-05,2.50E-05,8.00E-05,0.00013,2.00E-05,3.83E-05,6.18E-05,2.00E-05,0.00023,0,1.00E-05,2.00E-05,3.00E-05,0.00023,2.00E-05,4.00E-05,5.70E-05,4.00E-05,0.00021,0,1.00E-05,2.00E-05,5.00E-05,0.00021
UP000001978_CP003939,Peptoclostridium difficile (strain 630) (Clostridium difficile),Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides; Clostridioides difficile,0.00063,0.000658182,0.000410678,0.000445,0.00121,0.00017,0.000395,0.00063,0.00084,0.00138,0.00049,0.000709,0.00062529,0.00011,0.00217,0.00013,0.000445,0.00049,0.000555,0.0023,0.000325,0.0004975,0.000374072,0.0005175,0.00106,9.00E-05,0.0002425,0.000325,0.00076,0.00115,0.000355,0.000361667,0.000239311,0.0002125,0.00084,7.00E-05,0.0001825,0.000355,0.000395,0.00091
UP000019772_CP004078,Paenibacillus sabinae T27,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus; Paenibacillus sabinae,2.00E-05,1.73E-05,7.86E-06,1.00E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,2.00E-05,3.00E-05,1.00E-05,1.50E-05,1.51E-05,7.50E-06,5.00E-05,0,1.00E-05,1.00E-05,1.75E-05,5.00E-05,1.00E-05,9.17E-06,9.00E-06,1.00E-05,3.00E-05,0,0,1.00E-05,1.00E-05,3.00E-05,0,3.33E-06,4.92E-06,1.00E-05,1.00E-05,0,0,0,1.00E-05,1.00E-05
UP000198230_CP004142,Raoultella ornithinolytica (Klebsiella ornithinolytica),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Raoultella; Raoultella ornithinolytica,0,1.82E-06,6.03E-06,0,2.00E-05,0,0,0,0,2.00E-05,0,2.30E-05,5.12E-05,0,0.00015,0,0,0,0,0.00015,0,7.50E-06,1.06E-05,1.25E-05,3.00E-05,0,0,0,1.25E-05,3.00E-05,1.00E-05,1.00E-05,9.53E-06,1.25E-05,3.00E-05,0,0,1.00E-05,1.25E-05,3.00E-05
UP000011835_CP004346,Bifidobacterium thermophilum RBL67,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium thermophilum,5.00E-05,0.000121818,0.000131819,0.000205,0.00034,1.00E-05,1.50E-05,5.00E-05,0.00022,0.00035,3.00E-05,7.60E-05,0.000107414,4.75E-05,0.00033,1.00E-05,1.25E-05,3.00E-05,6.00E-05,0.00034,3.00E-05,2.92E-05,2.94E-05,3.25E-05,1.00E-04,0,7.50E-06,3.00E-05,4.00E-05,1.00E-04,5.00E-06,1.50E-05,3.09E-05,1.25E-05,0.00011,0,0,5.00E-06,1.25E-05,0.00011
UP000007843_CP004887,Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella michiganensis,0,0,0,0,0,0,0,0,0,0,0,6.30E-05,0.000195735,0,0.00062,0,0,0,0,0.00062,5.00E-06,8.92E-05,0.000170425,4.75E-05,0.00047,0,0,5.00E-06,4.75E-05,0.00047,5.50E-05,0.000650833,0.001511053,5.00E-04,0.00536,0,1.00E-05,5.50E-05,0.00051,0.00536
UP000000799_CP005388,Campylobacter jejuni subsp jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter jejuni; Campylobacter jejuni subsp. jejuni,4.00E-05,0.000105455,0.000169727,3.00E-05,0.00054,2.00E-05,2.50E-05,4.00E-05,5.50E-05,0.00056,8.50E-05,0.000166,0.000193632,0.0001775,0.00054,0,3.00E-05,8.50E-05,0.0002075,0.00054,0.000105,0.000215833,0.000329696,0.000175,0.00115,0,2.00E-05,0.000105,0.000195,0.00115,0.00011,0.000241667,0.000282451,0.000375,0.00076,0,1.00E-05,0.00011,0.000385,0.00076
UP000006381_CP005926,Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus acidophilus,0,3.64E-06,5.05E-06,1.00E-05,1.00E-05,0,0,0,1.00E-05,1.00E-05,0,5.00E-06,7.07E-06,1.00E-05,2.00E-05,0,0,0,1.00E-05,2.00E-05,0,5.83E-06,1.24E-05,2.50E-06,4.00E-05,0,0,0,2.50E-06,4.00E-05,0,8.33E-07,2.89E-06,0,1.00E-05,0,0,0,0,1.00E-05
UP000014070_CP005934,Methanomassiliicoccus intestinalis (strain Issoire-Mx1),Archaea; Euryarchaeota; Diaforarchaea group; Thermoplasmata; Methanomassiliicoccales; Methanomassiliicoccaceae; Methanomassiliicoccus; Candidatus Methanomassiliicoccus intestinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33E-07,2.89E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,8.33E-07,2.89E-06,0,1.00E-05,0,0,0,0,1.00E-05
UP000028585_CP006030,Enterococcus faecium T110,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecium,0,2.09E-05,6.93E-05,0,0.00023,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0,0,0,8.33E-07,2.89E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,7.50E-06,2.60E-05,0,9.00E-05,0,0,0,0,9.00E-05
UP000183509_CP006620,Enterococcus faecium (Streptococcus faecium),Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecium,1.00E-04,0.000292727,0.000527752,0.000205,0.00182,1.00E-05,6.00E-05,1.00E-04,0.000265,0.00183,9.50E-05,0.000139,0.000140432,0.0001175,0.00047,2.00E-05,4.75E-05,9.50E-05,0.000165,0.00049,0.000115,0.000385,0.000935992,0.0001275,0.00332,3.00E-05,6.75E-05,0.000115,0.000195,0.00335,5.00E-05,0.00016,0.000268125,8.00E-05,0.00095,1.00E-05,4.00E-05,5.00E-05,0.00012,0.00096
UP000019336_CP006713,Bifidobacterium breve JCM 7019,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium breve,0.00011,0.000179091,0.000257195,0.000125,9.00E-04,2.00E-05,4.50E-05,0.00011,0.00017,0.00092,0.000115,0.000137,0.00010478,0.00013,3.00E-04,3.00E-05,5.00E-05,0.000115,0.00018,0.00033,0.000215,0.001108333,0.001916283,0.000605,0.00612,3.00E-05,0.00014,0.000215,0.000745,0.00615,2.00E-05,0.000286667,0.000856529,4.00E-05,0.003,0,1.00E-05,2.00E-05,5.00E-05,0.003
UP000232467_CP006715,Bifidobacterium breve,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium breve,0.00015,0.000210909,0.000181022,0.000305,0.00046,4.00E-05,5.00E-05,0.00015,0.000355,5.00E-04,9.50E-05,0.000176,0.000165274,0.0001825,0.00047,4.00E-05,6.00E-05,9.50E-05,0.0002425,0.00051,0.000185,0.002544167,0.005803855,0.0010925,0.02004,7.00E-05,0.000135,0.000185,0.0012275,0.02011,4.00E-05,0.0008525,0.002767894,6.75E-05,0.00964,0,1.75E-05,4.00E-05,8.50E-05,0.00964
UP000030089_CP006741,Bifidobacterium longum subsp longum GT15,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,0.02233,0.028030909,0.022917533,0.043885,0.05539,0.00294,0.00563,0.02233,0.049515,0.05833,0.010815,0.017233,0.020065622,0.011055,0.0684,0.00172,0.006015,0.010815,0.01707,0.07012,0.026775,0.041928333,0.049340803,0.034485,0.17703,2.00E-04,0.01192,0.026775,0.046405,0.17723,0.00209,0.011330833,0.020977456,0.0078925,0.0697,0,0.0001575,0.00209,0.00805,0.0697
UP000017161_CP006766,Lactococcus lactis subsp lactis KLDS 4.0325,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,3.00E-05,0.000217273,0.000367045,0.00018,0.0012,0,2.00E-05,3.00E-05,2.00E-04,0.0012,2.50E-05,0.000112,0.000291235,1.75E-05,0.00094,0,1.25E-05,2.50E-05,3.00E-05,0.00094,1.50E-05,1.83E-05,2.59E-05,2.00E-05,9.00E-05,0,0,1.50E-05,2.00E-05,9.00E-05,0,1.67E-05,3.58E-05,1.25E-05,0.00012,0,0,0,1.25E-05,0.00012
UP000017124_CP006776,Streptococcus sp I-P16,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,5.00E-05,6.82E-05,8.77E-05,8.00E-05,3.00E-04,0,1.00E-05,5.00E-05,9.00E-05,3.00E-04,4.50E-05,0.000113,0.000135158,0.0001625,0.00036,1.00E-05,2.00E-05,4.50E-05,0.0001825,0.00037,2.00E-05,5.75E-05,7.26E-05,6.25E-05,0.00025,0,1.00E-05,2.00E-05,7.25E-05,0.00025,1.50E-05,2.58E-05,2.50E-05,2.50E-05,7.00E-05,0,1.00E-05,1.50E-05,3.50E-05,7.00E-05
UP000006051_CP006828,Ornithobacterium rhinotracheale (strain ATCC 51463 / DSM 15997 / CCUG 23171 / CIP 104009 / LMG 9086),Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Ornithobacterium; Ornithobacterium rhinotracheale,8.00E-05,0.000287273,0.00038637,0.00036,0.00103,1.00E-05,3.50E-05,8.00E-05,0.000395,0.00104,0.00021,0.000361,0.000467462,0.000405,0.00154,1.00E-05,5.00E-05,0.00021,0.000455,0.00155,0.000315,0.000365,0.000305718,0.0003975,0.00102,2.00E-05,0.0001175,0.000315,0.000515,0.00104,0.000405,0.000605,0.000804064,0.000425,0.00258,0,8.75E-05,0.000405,0.0005125,0.00258
UP000018901_CP007034,Barnesiella viscericola DSM 18177,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella; Barnesiella viscericola,7.00E-04,0.000668182,0.000441833,0.000615,0.00133,0.00011,0.000305,7.00E-04,0.00092,0.00144,0.00058,0.000776,0.000699336,0.0003325,0.00203,2.00E-05,0.0004425,0.00058,0.000775,0.00205,0.000415,0.0005625,0.000353325,0.0005875,0.00093,2.00E-04,0.0002675,0.000415,0.000855,0.00113,0.00059,0.00061,0.000399204,0.000545,0.00132,0.00011,0.0003125,0.00059,0.0008575,0.00143
UP000066984_CP007180,Campylobacter coli,Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter coli,1.00E-05,1.09E-05,1.76E-05,1.00E-05,6.00E-05,0,0,1.00E-05,1.00E-05,6.00E-05,1.00E-05,1.40E-05,1.84E-05,7.50E-06,6.00E-05,0,2.50E-06,1.00E-05,1.00E-05,6.00E-05,1.00E-05,2.50E-05,5.57E-05,2.00E-05,2.00E-04,0,0,1.00E-05,2.00E-05,2.00E-04,2.00E-05,3.08E-05,3.60E-05,4.50E-05,0.00011,0,0,2.00E-05,4.50E-05,0.00011
UP000007097_CP007394,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,1.00E-05,0.000410909,0.001284301,1.50E-05,0.00428,0,0,1.00E-05,1.50E-05,0.00428,1.00E-05,0.000131,0.000223281,0.0001475,7.00E-04,0,2.50E-06,1.00E-05,0.00015,7.00E-04,9.50E-05,0.000823333,0.001852469,0.000855,0.00657,0,7.50E-06,9.50E-05,0.0008625,0.00657,0.00057,0.001245833,0.001555141,0.00118,0.00469,8.00E-05,0.00021,0.00057,0.00139,0.00477
UP000028581_CP007443,Bifidobacterium adolescentis,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium,0.03227,0.024251818,0.017245353,0.027275,0.05078,2.00E-05,0.009375,0.03227,0.03665,0.0508,0.004655,0.022765,0.032589596,0.026515,0.08498,0.00039,0.00186,0.004655,0.028375,0.08537,0.00433,0.013270833,0.020455387,0.0137675,0.06659,2.00E-05,0.000405,0.00433,0.0141725,0.06661,5.00E-05,0.000779167,0.001243927,0.0011675,0.00317,0,0,5.00E-05,0.0011675,0.00317
UP000030625_CP007456,Bifidobacterium kashiwanohense PV20-2,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium catenulatum; Bifidobacterium catenulatum subsp. kashiwanohense,7.00E-04,0.006560909,0.014733131,0.005805,0.05007,0.00013,0.000245,7.00E-04,0.00605,0.0502,0.00084,0.003252,0.005227886,0.0016825,0.01359,8.00E-05,0.000395,0.00084,0.0020775,0.01367,0.001445,0.004078333,0.005913311,0.004185,0.01787,0.00017,0.000355,0.001445,0.00454,0.01804,0.00024,0.000463333,0.00057919,0.00073,0.0018,0,1.00E-05,0.00024,0.00074,0.0018
UP000025226_CP007557,Citrobacter freundii CFNIH1,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex; Citrobacter freundii,0,9.09E-07,3.02E-06,0,1.00E-05,0,0,0,0,1.00E-05,0,5.70E-05,0.00016984,7.50E-06,0.00054,0,0,0,7.50E-06,0.00054,2.00E-05,3.33E-05,3.89E-05,6.00E-05,0.00011,0,0,2.00E-05,6.00E-05,0.00011,2.50E-05,5.42E-05,7.42E-05,4.00E-05,0.00023,0,1.50E-05,2.50E-05,5.50E-05,0.00023
UP000028584_CP007619,Bacteroides dorei,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,0.00468,0.005254545,0.003441774,0.004805,0.01082,0.00112,0.003035,0.00468,0.00784,0.01194,0.005145,0.007437,0.006637761,0.006565,0.02183,0.00058,0.0037875,0.005145,0.0103525,0.02241,0.007015,0.013725,0.018684396,0.007195,0.06774,0.00152,0.0052275,0.007015,0.0124225,0.06926,0.0093,0.017881667,0.025208708,0.008035,0.08824,0.00242,0.005855,0.0093,0.01389,0.09066
UP000027602_CP007739,Bacillus methanolicus MGA3,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus methanolicus,3.00E-05,3.55E-05,2.11E-05,2.00E-05,7.00E-05,1.00E-05,2.50E-05,3.00E-05,4.50E-05,8.00E-05,2.00E-05,2.90E-05,2.18E-05,1.50E-05,7.00E-05,1.00E-05,2.00E-05,2.00E-05,3.50E-05,8.00E-05,1.00E-05,1.67E-05,8.88E-06,1.25E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.25E-05,3.00E-05,1.00E-05,1.33E-05,1.07E-05,1.00E-05,4.00E-05,0,1.00E-05,1.00E-05,2.00E-05,4.00E-05
UP000018115_CP008741,Bacteroides sp CAG:98,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,0.00099,0.001400909,0.000992456,0.001565,0.00283,0.00033,0.00067,0.00099,0.002235,0.00316,0.0022,0.002229,0.001505681,0.002155,0.00453,9.00E-05,0.0010125,0.0022,0.0031675,0.00462,0.003635,0.034978333,0.084145646,0.005105,0.28776,5.00E-05,0.0017325,0.003635,0.0068375,0.28781,0.005055,0.0489,0.109333877,0.0093675,0.37083,0.00013,0.0042825,0.005055,0.01365,0.37096
UP000002042_CP009045,Bifidobacterium animalis subsp lactis (strain BB-12),Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium animalis,1.00E-05,3.91E-05,6.95E-05,3.00E-05,0.00024,0,1.00E-05,1.00E-05,4.00E-05,0.00024,1.00E-05,2.00E-05,1.83E-05,1.75E-05,6.00E-05,0,1.00E-05,1.00E-05,2.75E-05,6.00E-05,5.00E-06,1.33E-05,2.06E-05,2.00E-05,7.00E-05,0,0,5.00E-06,2.00E-05,7.00E-05,5.00E-06,1.58E-05,2.87E-05,1.00E-05,9.00E-05,0,0,5.00E-06,1.00E-05,9.00E-05
UP000063149_CP009057,Bacteroides dorei,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,0.00718,0.009761818,0.006223344,0.008195,0.01832,0.00296,0.00497,0.00718,0.013165,0.02128,0.010675,0.015511,0.013830142,0.01961,0.04259,0.00082,0.005315,0.010675,0.024925,0.04341,0.00935,0.009343333,0.007134926,0.01011,0.0206,0.00135,0.0031675,0.00935,0.0132775,0.02195,0.01358,0.022915833,0.040253232,0.011945,0.1453,0.00373,0.005115,0.01358,0.01706,0.14903
UP000031758_CP009166,Escherichia coli 1303,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,0,1.64E-05,5.10E-05,0,0.00017,0,0,0,0,0.00017,0,2.70E-05,6.55E-05,2.25E-05,0.00021,0,0,0,2.25E-05,0.00021,6.50E-05,0.00059,0.001425329,0.0003525,0.00503,0,7.50E-06,6.50E-05,0.00036,0.00503,0.000295,0.00053,0.000645812,0.000505,0.00198,3.00E-05,0.000115,0.000295,0.00062,0.00201
UP000029666_CP009208,Klebsiella pneumoniae,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella pneumoniae,0,5.45E-06,1.21E-05,5.00E-06,4.00E-05,0,0,0,5.00E-06,4.00E-05,0,0.048583,0.153583748,3.75E-05,0.48569,0,0,0,3.75E-05,0.48569,1.00E-05,0.000101667,0.000308275,1.50E-05,0.00108,0,7.50E-06,1.00E-05,2.25E-05,0.00108,2.00E-05,6.33E-05,0.000120856,3.00E-05,0.00042,0,7.50E-06,2.00E-05,3.75E-05,0.00042
UP000031386_CP009761,Parvimonas micra,Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Parvimonas,3.00E-05,3.55E-05,2.91E-05,4.00E-05,8.00E-05,1.00E-05,1.00E-05,3.00E-05,5.00E-05,9.00E-05,1.00E-05,0.000133,0.000357928,2.50E-05,0.00115,0,1.00E-05,1.00E-05,3.50E-05,0.00115,1.50E-05,2.08E-05,2.11E-05,3.25E-05,6.00E-05,0,0,1.50E-05,3.25E-05,6.00E-05,1.00E-05,2.42E-05,4.42E-05,1.25E-05,0.00014,0,0,1.00E-05,1.25E-05,0.00014
UP000030317_CP009859,Escherichia coli,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,0,0.000263636,0.000825388,1.00E-05,0.00275,0,0,0,1.00E-05,0.00275,5.00E-06,0.000119,0.000207496,0.00019,0.00063,0,0,5.00E-06,0.00019,0.00063,8.00E-05,0.004809167,0.011686698,0.0015625,0.0398,0,7.50E-06,8.00E-05,0.00157,0.0398,0.001185,0.008408333,0.023529868,0.0026575,0.08288,7.00E-05,0.0003075,0.001185,0.002965,0.08295
UP000030306_CP009913,Streptococcus salivarius,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,0.00012,0.000289091,0.000384875,0.000485,0.00123,0,1.00E-05,0.00012,0.000495,0.00123,8.00E-05,0.000141,0.000148358,0.000145,0.00046,0,5.25E-05,8.00E-05,0.0001975,0.00046,9.00E-05,0.00021,0.000320539,0.000185,0.001,0,7.50E-06,9.00E-05,0.0001925,0.001,0,5.00E-06,1.00E-05,2.50E-06,3.00E-05,0,0,0,2.50E-06,3.00E-05
UP000006877_CP010371,Escherichia coli O78:H11 (strain H10407 / ETEC),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,2.00E-05,0.000136364,0.000318693,9.50E-05,0.00108,0,5.00E-06,2.00E-05,1.00E-04,0.00108,2.00E-05,0.00027,0.000503984,0.00013,0.00129,0,0,2.00E-05,0.00013,0.00129,0.000185,0.001791667,0.004960531,0.0006625,0.01746,0,1.00E-05,0.000185,0.0006725,0.01746,0.00076,0.003485,0.00842299,0.0011775,0.02975,4.00E-05,0.0002025,0.00076,0.00138,0.02979
UP000066721_CP010412,Bifidobacterium bifidum,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium,0.00023,0.002883636,0.00752275,0.00058,0.02533,1.00E-05,0.00014,0.00023,0.00072,0.02534,0.000585,0.00345,0.008378338,0.001545,0.0271,2.00E-05,7.75E-05,0.000585,0.0016225,0.02712,0.01064,0.014794167,0.017241969,0.0228225,0.05168,6.00E-05,0.0002575,0.01064,0.02308,0.05174,2.00E-05,0.004941667,0.012148062,0.001895,0.04206,0,7.50E-06,2.00E-05,0.0019025,0.04206
UP000031405_CP010437,Bifidobacterium adolescentis,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium,0.01381,0.01033,0.007121837,0.01104,0.01958,2.00E-05,0.00455,0.01381,0.01559,0.0196,0.00269,0.009688,0.012100516,0.0130675,0.03007,0.00079,0.00177,0.00269,0.0148375,0.03086,0.002115,0.00542,0.008043151,0.0062475,0.02638,1.00E-05,7.25E-05,0.002115,0.00632,0.02639,6.00E-05,0.000328333,0.000511074,0.0003725,0.00126,0,1.00E-05,6.00E-05,0.0003825,0.00126
UP000037363_CP010520,Clostridium botulinum,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium,6.00E-05,7.00E-05,5.14E-05,5.00E-05,0.00018,1.00E-05,4.00E-05,6.00E-05,9.00E-05,0.00019,7.00E-05,9.90E-05,0.00012078,6.25E-05,0.00041,2.00E-05,3.50E-05,7.00E-05,9.75E-05,0.00043,2.00E-05,3.08E-05,3.06E-05,4.50E-05,8.00E-05,0,7.50E-06,2.00E-05,5.25E-05,8.00E-05,2.00E-05,2.83E-05,3.64E-05,2.75E-05,0.00013,0,7.50E-06,2.00E-05,3.50E-05,0.00013
UP000002032_CP010816,Escherichia coli (strain B / BL21-DE3),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,0,6.00E-05,0.000185849,1.00E-05,0.00062,0,0,0,1.00E-05,0.00062,5.00E-06,8.00E-05,0.00020188,3.00E-05,0.00065,0,0,5.00E-06,3.00E-05,0.00065,4.50E-05,0.001638333,0.005337417,0.000155,0.01858,0,0,4.50E-05,0.000155,0.01858,0.00022,0.0007525,0.001368749,0.0006025,0.00479,2.00E-05,4.75E-05,0.00022,0.00065,0.00481
